"species_list"	"habitat_code"
"225"	"Pristimantis xylochobates"	"1.9"
"226"	"Psychrophrynella adenopleura"	"1.9 3.7 4.7"
"227"	"Psychrophrynella ankohuma"	"3.7"
"228"	"Psychrophrynella bagrecito"	"1.9"
"229"	"Psychrophrynella chacaltaya"	"3.7"
"230"	"Psychrophrynella illampu"	"1.9 3.7"
"231"	"Psychrophrynella kempffi"	"1.9"
"232"	"Psychrophrynella pinguis"	"14.2 1.9"
"233"	"Psychrophrynella quimsacruzis"	"3.7"
"234"	"Psychrophrynella wettsteini"	"14.2 14.4 14.6 18 1.9 3.7 4.7"
"235"	"Strabomantis anatipes"	"1.6 1.9 5.1"
"236"	"Strabomantis biporcatus"	"1.6 1.9"
"237"	"Strabomantis cheiroplethus"	"1.6 1.9 5.1"
"238"	"Strabomantis cornutus"	"1.9 5.1"
"239"	"Strabomantis ingeri"	"1.9"
"240"	"Strabomantis necerus"	"1.6 1.9 5.1"
"241"	"Strabomantis necopinus"	"1.9"
"242"	"Tachiramantis douglasi"	"1.9"
"243"	"Yunganastes ashkapara"	"1.9"
"244"	"Cycloramphus acangatan"	"1.6"
"245"	"Rhinoderma darwinii"	"1.3 1.4 5.4"
"246"	"Thoropa petropolitana"	"1.6 17 5.1"
"247"	"Ameerega cainarachi"	"1.6 5.1 5.7"
"248"	"Ameerega pongoensis"	"1.6 5.1 5.2"
"249"	"Andinobates altobueyensis"	"1.6 1.9"
"250"	"Andinobates daleswansoni"	"1.9"
"251"	"Andinobates dorisswansonae"	"1.9"
"252"	"Andinobates opisthomelas"	"1.9"
"253"	"Andinobates tolimensis"	"1.9"
"254"	"Andinobates viridis"	"1.6 1.9"
"255"	"Hyloxalus awa"	"1.6 1.9 5.1"
"256"	"Hyloxalus pulchellus"	"1.9 5.1"
"257"	"Hyloxalus vergeli"	"14.2 14.6 1.9 5.1"
"258"	"Oophaga granulifera"	"1.6 17"
"259"	"Ranitomeya benedicta"	"1.6 17"
"260"	"Ingerana borealis"	"15.9 1.6 5.1 5.7 5.8"
"261"	"Limnonectes acanthi"	"1.5 15.7 15.8 1.6 1.9 5.1 5.2 5.7 5.8"
"262"	"Limnonectes diuatus"	"1.6 1.9 5.1 5.2"
"263"	"Limnonectes fragilis"	"1.6 5.1"
"264"	"Limnonectes heinrichi"	"1.6 5.1"
"265"	"Limnonectes liui"	"1.6 5.1"
"266"	"Limnonectes macrodon"	"1.6 5.1"
"267"	"Limnonectes parvus"	"1.6 1.9 5.1"
"268"	"Limnonectes visayanus"	"14.1 14.2 14.3 14.4 14.5 14.6 15.2 15.7 15.8 1.6 1.8 1.9 3.6 4.6 5.1 5.2 5.7 5.8"
"269"	"Nannophrys ceylonensis"	"1.6 1.9 5.1"
"270"	"Nanorana liui"	"1.9 3.7 5.5"
"271"	"Nanorana minica"	"1.9 3.7 5.1"
"272"	"Nanorana rostandi"	"1.9 4.7 5.1"
"273"	"Occidozyga diminutiva"	"1.6 5.1 5.2 5.7 5.8"
"274"	"Quasipaa exilispinosa"	"1.6 1.9 3.6 3.7 5.1 5.4"
"275"	"Quasipaa fasciculispina"	"1.6 5.1"
"276"	"Quasipaa jiulongensis"	"1.6 1.9 5.1"
"277"	"Quasipaa shini"	"1.6 1.9 5.1"
"278"	"Quasipaa spinosa"	"1.6 1.9 4.7 5.1"
"279"	"Adelophryne baturitensis"	"14.3 1.5 1.6"
"280"	"Diasporus ventrimaculatus"	"1.9"
"281"	"Eleutherodactylus angustidigitorum"	"1.9"
"282"	"Eleutherodactylus audanti"	"1.6 1.9"
"283"	"Eleutherodactylus cooki"	"1.6 5.1 6"
"284"	"Eleutherodactylus goini"	"1.6 6"
"285"	"Eleutherodactylus guantanamera"	"1.6 1.9"
"286"	"Eleutherodactylus leprus"	"1.6"
"287"	"Eleutherodactylus limbatus"	"1.5 1.6"
"288"	"Eleutherodactylus longipes"	"1.4 1.5 1.9 7.1"
"289"	"Eleutherodactylus modestus"	"1.5"
"290"	"Eleutherodactylus monensis"	"1.5 3.5"
"291"	"Eleutherodactylus nivicolimae"	"1.6 1.9"
"292"	"Eleutherodactylus pentasyringos"	"1.6 1.9"
"293"	"Eleutherodactylus pictissimus"	"1.5 1.6 1.9"
"294"	"Eleutherodactylus ricordii"	"1.6 1.9 6"
"295"	"Eleutherodactylus ronaldi"	"1.6 1.9"
"296"	"Eleutherodactylus rubrimaculatus"	"1.6"
"297"	"Eleutherodactylus unicolor"	"1.6 1.9"
"298"	"Eleutherodactylus varians"	"1.6"
"299"	"Eleutherodactylus verrucipes"	"14.2 1.6 1.9 6"
"300"	"Eleutherodactylus wetmorei"	"14.3 1.6 1.9"
"301"	"Cryptobatrachus fuhrmanni"	"1.6 1.9 5.1"
"302"	"Gastrotheca angustifrons"	"1.6 5.1"
"303"	"Gastrotheca antomia"	"1.9"
"304"	"Gastrotheca atympana"	"1.9"
"305"	"Gastrotheca chrysosticta"	"1.6"
"306"	"Gastrotheca dendronastes"	"1.9 5.1"
"307"	"Gastrotheca excubitor"	"14.4 14.6 1.9"
"308"	"Gastrotheca gracilis"	"1.6 5.8"
"309"	"Gastrotheca guentheri"	"1.6 1.9 5.1"
"310"	"Gastrotheca plumbea"	"14.6 1.9 4.1"
