"species_list"	"threat_count"
"259"	"Ranitomeya benedicta"	"4"
"260"	"Ingerana borealis"	"3"
"261"	"Limnonectes acanthi"	"7"
"262"	"Limnonectes diuatus"	"6"
"263"	"Limnonectes fragilis"	"4"
"264"	"Limnonectes heinrichi"	"1"
"265"	"Limnonectes liui"	"3"
"266"	"Limnonectes macrodon"	"3"
"267"	"Limnonectes parvus"	"5"
"268"	"Limnonectes visayanus"	"8"
"269"	"Nannophrys ceylonensis"	"2"
"270"	"Nanorana liui"	"3"
"271"	"Nanorana minica"	"2"
"272"	"Nanorana rostandi"	"1"
"273"	"Occidozyga diminutiva"	"3"
"274"	"Quasipaa exilispinosa"	"4"
"275"	"Quasipaa fasciculispina"	"3"
"276"	"Quasipaa jiulongensis"	"3"
"277"	"Quasipaa shini"	"4"
"278"	"Quasipaa spinosa"	"6"
"279"	"Adelophryne baturitensis"	"4"
"280"	"Diasporus ventrimaculatus"	"3"
"281"	"Eleutherodactylus angustidigitorum"	"3"
"282"	"Eleutherodactylus audanti"	"2"
"283"	"Eleutherodactylus cooki"	"5"
"284"	"Eleutherodactylus goini"	"4"
"285"	"Eleutherodactylus guantanamera"	"5"
"286"	"Eleutherodactylus leprus"	"3"
"287"	"Eleutherodactylus limbatus"	"2"
"288"	"Eleutherodactylus longipes"	"2"
"289"	"Eleutherodactylus modestus"	"4"
"290"	"Eleutherodactylus monensis"	"2"
"291"	"Eleutherodactylus nivicolimae"	"3"
"292"	"Eleutherodactylus pentasyringos"	"4"
"293"	"Eleutherodactylus pictissimus"	"3"
"294"	"Eleutherodactylus ricordii"	"5"
"295"	"Eleutherodactylus ronaldi"	"5"
"296"	"Eleutherodactylus rubrimaculatus"	"3"
"297"	"Eleutherodactylus unicolor"	"2"
"298"	"Eleutherodactylus varians"	"1"
"299"	"Eleutherodactylus verrucipes"	"3"
"300"	"Eleutherodactylus wetmorei"	"2"
"301"	"Cryptobatrachus fuhrmanni"	"6"
"302"	"Gastrotheca angustifrons"	"5"
"303"	"Gastrotheca antomia"	"3"
"304"	"Gastrotheca atympana"	"4"
"305"	"Gastrotheca chrysosticta"	"3"
"306"	"Gastrotheca dendronastes"	"7"
"307"	"Gastrotheca excubitor"	"3"
"308"	"Gastrotheca gracilis"	"3"
"309"	"Gastrotheca guentheri"	"7"
"310"	"Gastrotheca plumbea"	"7"
"311"	"Stefania riveroi"	"0"
"312"	"Stefania schuberti"	"2"
"313"	"Hemisus guttatus"	"4"
"314"	"Bokermannohyla vulcaniae"	"2"
"315"	"Charadrahyla nephila"	"3"
"316"	"Charadrahyla taeniopus"	"2"
"317"	"Dendropsophus stingi"	"0"
"318"	"Duellmanohyla schmidtorum"	"3"
"319"	"Ecnomiohyla miliaria"	"3"
"320"	"Exerodonta juanitae"	"3"
"321"	"Exerodonta melanomma"	"5"
"322"	"Exerodonta pinorum"	"5"
"323"	"Exerodonta xera"	"3"
"324"	"Hyla walkeri"	"3"
"325"	"Hyloscirtus lindae"	"6"
"326"	"Hyloscirtus platydactylus"	"5"
"327"	"Hyloscirtus torrenticola"	"6"
"328"	"Hypsiboas heilprini"	"6"
"329"	"Litoria andiirrmalin"	"0"
"330"	"Litoria aurea"	"9"
"331"	"Litoria becki"	"0"
"332"	"Litoria daviesae"	"4"
"333"	"Litoria freycineti"	"9"
"334"	"Litoria lutea"	"1"
"335"	"Litoria olongburensis"	"13"
"336"	"Litoria quadrilineata"	"1"
