"species_list"	"threat_code"
"150"	"Craugastor decoratus"	"2.1 2.1.2 5.3 5.3.5 6.1 7.1 7.1.3"
"151"	"Craugastor matudai"	"2.1 2.1.2 5.3 5.3.5 7.1 7.1.3"
"152"	"Craugastor persimilis"	"2.1 2.1.2 2.3 2.3.2"
"153"	"Craugastor psephosypharus"	"2.1 2.1.2 5.3 5.3.5"
"154"	"Craugastor pygmaeus"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"155"	"Craugastor rhodopis"	"1.1 2.1 2.1.2 5.3 5.3.5"
"156"	"Craugastor rivulus"	"1.1 2.1 2.1.1 2.1.2 5.3 5.3.5 9.3 9.3.4"
"157"	"Craugastor tarahumaraensis"	"2.1 2.1.1 2.1.2 5.3 5.3.5"
"158"	"Craugastor xucanebi"	"1.1 2.1 2.1.1 2.1.2 5.3 5.3.5"
"159"	"Euparkerella robusta"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"160"	"Euparkerella tridactyla"	"1.1 1.3 2.1 2.1.2 2.2 2.2.1 2.2.2 5.3 5.3.5"
"161"	"Hypodactylus dolops"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 2.2 2.2 2.2.1 2.2.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2"
"162"	"Lynchius flavomaculatus"	"2.1 2.1.2 2.1.3 7.1 7.1.3"
"163"	"Lynchius simmonsi"	"1.1"
"164"	"Phrynopus barthlenae"	"9.3 9.3.4"
"165"	"Phrynopus horstpauli"	"1.1 2.1 2.1.2 2.3 2.3.2"
"166"	"Pristimantis actites"	"2.3 2.3.2 5.3 5.3.5"
"167"	"Pristimantis affinis"	"2.3 2.3.4 7.1 7.1.3"
"168"	"Pristimantis bicolor"	"2.1 2.1.4 2.3 2.3.4 8.1 8.1.2"
"169"	"Pristimantis bicumulus"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"170"	"Pristimantis boconoensis"	"4.2 7.1 7.1.3"
"171"	"Pristimantis briceni"	""
"172"	"Pristimantis bromeliaceus"	"1.1 1.2 2.1 2.1 2.1.2 2.1.3 2.2 2.2.3 2.3 2.3 2.3.2 2.3.3 5.3 5.3.5 9.1 9.1.3 9.3 9.3.4"
"173"	"Pristimantis calcarulatus"	"1.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1.2 9.3 9.3.3"
"174"	"Pristimantis ceuthospilus"	"2.3 2.3.2 5.3 5.3.5"
"175"	"Pristimantis colodactylus"	"1.1 1.2 2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 9.3 9.3.4"
"176"	"Pristimantis colostichos"	"2.1 2.1.2 6.1"
"177"	"Pristimantis condor"	"1.2 2.1 2.1 2.1.2 2.1.3 2.2 2.2.1 2.2.2 2.3 2.3.2 2.3.3 3.2 5.3 5.3.5 6.2"
"178"	"Pristimantis cordovae"	"3.2"
"179"	"Pristimantis crucifer"	"1.1 2.1 2.1.1 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2"
"180"	"Pristimantis cruciocularis"	"2.1 2.1.2"
"181"	"Pristimantis diaphonus"	"7.2 7.2.11 8.1 8.1.2"
"182"	"Pristimantis diogenes"	"8.1 8.1.2"
"183"	"Pristimantis duellmani"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 9.3 9.3.4"
"184"	"Pristimantis elegans"	"2.1 2.1.4 2.3 2.3.4"
"185"	"Pristimantis eremitus"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 5.3 5.3.5 9.1 9.1.3 9.3 9.3.4"
"186"	"Pristimantis eriphus"	"1.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 9.1 9.1.3 9.3 9.3.4"
"187"	"Pristimantis ernesti"	""
"188"	"Pristimantis fallax"	"2.1 2.1.2 3.2 5.3 5.3.5 8.1 8.1.2 9.2 9.2.2"
"189"	"Pristimantis floridus"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"190"	"Pristimantis frater"	"2.1 2.1.4 2.3 2.3.2"
"191"	"Pristimantis gracilis"	"2.1 2.1.2 2.3 2.3.2 8.1 8.1.2 9.3 9.3.3"
"192"	"Pristimantis hybotragus"	"5.3 5.3.5"
"193"	"Pristimantis incomptus"	"2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5"
"194"	"Pristimantis inusitatus"	"1.1 2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5"
"195"	"Pristimantis kelephus"	""
"196"	"Pristimantis marahuaka"	""
"197"	"Pristimantis muricatus"	"2.1 2.1.3 2.3 2.3.3 5.3 5.3.5"
"198"	"Pristimantis nephophilus"	"1.1 2.1 2.1.2 5.3 5.3.5"
"199"	"Pristimantis nigrogriseus"	"11.5 2.1 2.1 2.1.2 2.1.3 2.3 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1.2"
