"species_list"	"threat_count"
"218"	"Leptolalax gracilis"	"2"
"219"	"Leptolalax maurus"	"0"
"220"	"Megophrys baluensis"	"0"
"221"	"Megophrys binchuanensis"	"3"
"222"	"Megophrys dringi"	"0"
"223"	"Megophrys kobayashii"	"0"
"224"	"Megophrys longipes"	"2"
"225"	"Megophrys mangshanensis"	"3"
"226"	"Megophrys omeimontis"	"3"
"227"	"Oreolalax lichuanensis"	"2"
"228"	"Oreolalax rugosus"	"3"
"229"	"Oreolalax schmidti"	"2"
"230"	"Micrixalus fuscus"	"5"
"231"	"Anodonthyla boulengeri"	"5"
"232"	"Cophixalus bombiens"	"2"
"233"	"Cophixalus crepitans"	"5"
"234"	"Cophixalus exiguus"	"6"
"235"	"Dyscophus antongilii"	"3"
"236"	"Elachistocleis erythrogaster"	"2"
"237"	"Glyphoglossus molossus"	"4"
"238"	"Kalophrynus baluensis"	"0"
"239"	"Kalophrynus nubicola"	"0"
"240"	"Kalophrynus subterrestris"	"1"
"241"	"Kaloula kokacii"	"5"
"242"	"Kaloula mediolineata"	"7"
"243"	"Microhyla perparva"	"1"
"244"	"Microhyla petrigena"	"1"
"245"	"Oreophryne jeffersoniana"	"1"
"246"	"Plethodontohyla tuberata"	"2"
"247"	"Rhombophryne coudreaui"	"5"
"248"	"Scaphiophryne madagascariensis"	"4"
"249"	"Scaphiophryne matsoko"	"7"
"250"	"Uperodon montanus"	"3"
"251"	"Uperodon obscurus"	"1"
"252"	"Geocrinia lutea"	"1"
"253"	"Pseudophryne bibronii"	"7"
"254"	"Taudactylus liemi"	"7"
"255"	"Odontobatrachus natator"	"4"
"256"	"Proceratophrys bigibbosa"	"6"
"257"	"Pelobates cultripes"	"6"
"258"	"Pelodytes caucasicus"	"10"
"259"	"Petropedetes cameronensis"	"3"
"260"	"Petropedetes johnstoni"	"3"
"261"	"Phrynobatrachus acutirostris"	"3"
"262"	"Phrynobatrachus alleni"	"3"
"263"	"Phrynobatrachus guineensis"	"4"
"264"	"Phrynobatrachus liberiensis"	"4"
"265"	"Phrynobatrachus phyllophilus"	"4"
"266"	"Phrynobatrachus uzungwensis"	"4"
"267"	"Phrynomedusa appendiculata"	"1"
"268"	"Xenopus amieti"	"4"
"269"	"Ptychadena erlangeri"	"4"
"270"	"Ptychadena superciliaris"	"3"
