"species_list"	"threat_count"
"221"	"Eleutherodactylus grabhami"	"4"
"222"	"Eleutherodactylus grahami"	"2"
"223"	"Eleutherodactylus greyi"	"3"
"224"	"Eleutherodactylus gryllus"	"9"
"225"	"Eleutherodactylus guanahacabibes"	"3"
"226"	"Eleutherodactylus gundlachi"	"5"
"227"	"Eleutherodactylus haitianus"	"2"
"228"	"Eleutherodactylus hedricki"	"2"
"229"	"Eleutherodactylus heminota"	"3"
"230"	"Eleutherodactylus hypostenor"	"3"
"231"	"Eleutherodactylus intermedius"	"4"
"232"	"Eleutherodactylus ionthus"	"4"
"233"	"Eleutherodactylus jamaicensis"	"3"
"234"	"Eleutherodactylus klinikowskii"	"1"
"235"	"Eleutherodactylus leberi"	"1"
"236"	"Eleutherodactylus lentus"	"5"
"237"	"Eleutherodactylus luteolus"	"2"
"238"	"Eleutherodactylus melacara"	"5"
"239"	"Eleutherodactylus michaelschmidi"	"2"
"240"	"Eleutherodactylus minutus"	"3"
"241"	"Eleutherodactylus montanus"	"4"
"242"	"Eleutherodactylus notidodes"	"2"
"243"	"Eleutherodactylus nubicola"	"4"
"244"	"Eleutherodactylus patriciae"	"4"
"245"	"Eleutherodactylus pinarensis"	"2"
"246"	"Eleutherodactylus pinchoni"	"9"
"247"	"Eleutherodactylus pituinus"	"4"
"248"	"Eleutherodactylus portoricensis"	"2"
"249"	"Eleutherodactylus principalis"	"3"
"250"	"Eleutherodactylus probolaeus"	"3"
"251"	"Eleutherodactylus ruthae"	"6"
"252"	"Eleutherodactylus saxatilis"	"2"
"253"	"Eleutherodactylus schwartzi"	"5"
"254"	"Eleutherodactylus simulans"	"2"
"255"	"Eleutherodactylus sommeri"	"2"
"256"	"Eleutherodactylus syristes"	"3"
"257"	"Eleutherodactylus thomasi"	"2"
"258"	"Eleutherodactylus toa"	"3"
"259"	"Eleutherodactylus wightmanae"	"5"
"260"	"Eleutherodactylus zeus"	"2"
"261"	"Eleutherodactylus zugi"	"4"
"262"	"Epipedobates tricolor"	"5"
"263"	"Espadarana audax"	"4"
"264"	"Espadarana fernandoi"	"6"
"265"	"Euproctus platycephalus"	"9"
"266"	"Eupsophus contulmoensis"	"4"
"267"	"Eupsophus migueli"	"2"
"268"	"Eupsophus nahuelbutensis"	"3"
"269"	"Eurycea naufragia"	"3"
"270"	"Eurycea tonkawae"	"3"
"271"	"Excidobates mysteriosus"	"3"
"272"	"Exerodonta catracha"	"10"
"273"	"Exerodonta chimalapa"	"1"
"274"	"Fejervarya greenii"	"6"
"275"	"Fejervarya nicobariensis"	"1"
"276"	"Fejervarya nilagirica"	"4"
"277"	"Flectonotus fitzgeraldi"	"4"
"278"	"Gastrotheca bufona"	"3"
"279"	"Gastrotheca christiani"	"2"
"280"	"Gastrotheca cornuta"	"6"
"281"	"Gastrotheca espeletia"	"6"
"282"	"Gastrotheca litonedis"	"4"
"283"	"Gastrotheca orophylax"	"9"
"284"	"Gastrotheca ovifera"	"4"
"285"	"Gastrotheca pseustes"	"9"
"286"	"Gastrotheca psychrophila"	"5"
"287"	"Gastrotheca riobambae"	"4"
"288"	"Gastrotheca ruizi"	"4"
"289"	"Gastrotheca splendens"	"4"
"290"	"Gastrotheca stictopleura"	"5"
"291"	"Gastrotheca trachyceps"	"1"
"292"	"Geobatrachus walkeri"	"3"
"293"	"Gephyromantis atsingy"	"3"
"294"	"Gephyromantis azzurrae"	"3"
"295"	"Gephyromantis corvus"	"6"
"296"	"Gephyromantis eiselti"	"6"
"297"	"Gephyromantis hintelmannae"	"2"
"298"	"Gephyromantis klemmeri"	"6"
"299"	"Gephyromantis ranjomavo"	"2"
"300"	"Gephyromantis thelenae"	"7"
"301"	"Gephyromantis webbi"	"4"
"302"	"Gephyromantis zavona"	"6"
"303"	"Ghatixalus variabilis"	"5"
"304"	"Ghatophryne ornata"	"3"
"305"	"Gracixalus lumarius"	"3"
"306"	"Gracixalus quyeti"	"5"
"307"	"Grandisonia brevis"	"3"
"308"	"Guibemantis annulatus"	"7"
"309"	"Guibemantis wattersoni"	"3"
"310"	"Gyrinophilus gulolineatus"	"1"
"311"	"Gyrinophilus subterraneus"	"1"
"312"	"Heleophryne hewitti"	"6"
"313"	"Hemiphractus johnsoni"	"3"
"314"	"Hoplophryne rogersi"	"2"
"315"	"Hoplophryne uluguruensis"	"2"
"316"	"Hyalinobatrachium esmeralda"	"4"
"317"	"Hyalinobatrachium guairarepanense"	"7"
"318"	"Hyalinobatrachium pallidum"	"3"
"319"	"Hylarana mangyanum"	"8"
"320"	"Hylarana montivaga"	"2"
"321"	"Hyla suweonensis"	"2"
"322"	"Hyloscirtus charazani"	"3"
"323"	"Hyloscirtus denticulentus"	"2"
"324"	"Hyloscirtus lynchi"	"3"
"325"	"Hyloscirtus pantostictus"	"6"
"326"	"Hyloscirtus piceigularis"	"3"
"327"	"Hyloscirtus psarolaimus"	"6"
"328"	"Hyloscirtus simmonsi"	"4"
"329"	"Hyloscirtus staufferorum"	"7"
"330"	"Hyloxalus azureiventris"	"3"
"331"	"Hyloxalus cevallosi"	"4"
"332"	"Hyloxalus elachyhistus"	"11"
"333"	"Hyloxalus toachi"	"6"
"334"	"Hynobius chinensis"	"2"
"335"	"Hynobius dunni"	"5"
"336"	"Hynobius formosanus"	"1"
"337"	"Hynobius hidamontanus"	"3"
"338"	"Hynobius sonani"	"1"
"339"	"Hynobius takedai"	"5"
"340"	"Hynobius yangi"	"4"
"341"	"Hyperolius bobirensis"	"3"
"342"	"Hyperolius dintelmanni"	"2"
"343"	"Hyperolius kihangensis"	"2"
"344"	"Hyperolius leleupi"	"3"
"345"	"Hyperolius leucotaenius"	"5"
"346"	"Hyperolius nienokouensis"	"3"
"347"	"Hyperolius nimbae"	"3"
"348"	"Hyperolius pickersgilli"	"9"
"349"	"Hyperolius puncticulatus"	"4"
"350"	"Hyperolius rubrovermiculatus"	"3"
"351"	"Hyperolius thomensis"	"4"
"352"	"Hyperolius torrentis"	"3"
"353"	"Hyperolius ukwiva"	"5"
"354"	"Hypodactylus brunneus"	"6"
"355"	"Hypodactylus elassodiscus"	"6"
"356"	"Hypodactylus latens"	"3"
"357"	"Hypselotriton orphicus"	"1"
"358"	"Incilius cavifrons"	"4"
"359"	"Incilius gemmifer"	"5"
"360"	"Incilius ibarrai"	"2"
"361"	"Incilius leucomyos"	"8"
"362"	"Incilius perplexus"	"4"
"363"	"Incilius spiculatus"	"1"
"364"	"Incilius tacanensis"	"6"
"365"	"Incilius tutelarius"	"3"
"366"	"Indirana brachytarsus"	"2"
"367"	"Indirana diplosticta"	"4"
"368"	"Indirana leptodactyla"	"3"
"369"	"Ingerophrynus claviger"	"2"
"370"	"Ingerophrynus kumquat"	"4"
"371"	"Isthmohyla pictipes"	"5"
"372"	"Isthmura maxima"	"2"
"373"	"Ixalotriton niger"	"5"
"374"	"Kalophrynus cryptophonus"	"2"
"375"	"Kalophrynus palmatissimus"	"4"
"376"	"Kassina jozani"	"4"
"377"	"Laotriton laoensis"	"3"
"378"	"Leptobrachium boringii"	"5"
"379"	"Leptobrachium echinatum"	"5"
"380"	"Leptobrachium leishanense"	"2"
"381"	"Leptobrachium rakhinensis"	"2"
"382"	"Leptobrachium xanthops"	"3"
"383"	"Leptodactylodon mertensi"	"8"
"384"	"Leptodactylodon ornatus"	"2"
"385"	"Leptodactylodon perreti"	"2"
"386"	"Leptodactylodon stevarti"	"2"
"387"	"Leptodactylodon wildi"	"2"
"388"	"Leptolalax alpinus"	"1"
"389"	"Leptolalax applebyi"	"2"
"390"	"Leptolalax bidoupensis"	"3"
"391"	"Leptolalax melicus"	"3"
"392"	"Leptopelis anebos"	"4"
"393"	"Leptopelis parkeri"	"3"
"394"	"Leptopelis susanae"	"3"
"395"	"Leptopelis vermiculatus"	"1"
"396"	"Leptopelis xenodactylus"	"4"
"397"	"Limnonectes arathooni"	"1"
"398"	"Limnonectes microtympanum"	"3"
"399"	"Limnonectes namiyei"	"4"
"400"	"Limnonectes nitidus"	"4"
"401"	"Lithobates dunni"	"4"
"402"	"Lithobates johni"	"1"
"403"	"Lithobates onca"	"4"
"404"	"Litoria brevipalmata"	"7"
"405"	"Litoria cooloolensis"	"7"
"406"	"Litoria dayi"	"8"
"407"	"Litoria nannotis"	"5"
"408"	"Litoria raniformis"	"11"
"409"	"Litoria rheocola"	"9"
"410"	"Liuixalus ocellatus"	"2"
"411"	"Liuixalus romeri"	"5"
"412"	"Lyciasalamandra antalyana"	"2"
"413"	"Lyciasalamandra atifi"	"2"
"414"	"Lyciasalamandra fazilae"	"3"
"415"	"Lyciasalamandra flavimembris"	"3"
"416"	"Lynchius parkeri"	"4"
"417"	"Madecassophryne truebae"	"5"
"418"	"Mannophryne collaris"	"6"
"419"	"Mannophryne leonardoi"	"3"
"420"	"Mannophryne riveroi"	"3"
"421"	"Mannophryne trujillensis"	"2"
"422"	"Mannophryne yustizi"	"3"
"423"	"Mantella bernhardi"	"6"
"424"	"Mantella cowanii"	"6"
"425"	"Mantella crocea"	"7"
"426"	"Mantella expectata"	"4"
"427"	"Mantella haraldmeieri"	"6"
"428"	"Mantella viridis"	"5"
"429"	"Mantidactylus madecassus"	"2"
"430"	"Mantidactylus paidroa"	"7"
"431"	"Megastomatohyla mixomaculata"	"2"
"432"	"Megastomatohyla nubicola"	"2"
"433"	"Megophrys brachykolos"	"2"
"434"	"Megophrys ligayae"	"3"
"435"	"Melanobatrachus indicus"	"4"
"436"	"Melanophryniscus devincenzii"	"3"
"437"	"Mertensophryne anotis"	"3"
"438"	"Mertensophryne howelli"	"4"
"439"	"Micrixalus gadgili"	"3"
"440"	"Microhyla sholigari"	"3"
"441"	"Microhyla zeylanica"	"3"
"442"	"Micryletta steinegeri"	"2"
"443"	"Minervarya sahyadris"	"1"
"444"	"Mixophyes fleayi"	"10"
"445"	"Mixophyes iteratus"	"7"
"446"	"Nannophrys naeyakai"	"4"
"447"	"Nanorana maculosa"	"1"
"448"	"Nanorana unculuanus"	"4"
"449"	"Nanorana yunnanensis"	"6"
"450"	"Nasikabatrachus sahyadrensis"	"1"
"451"	"Natalobatrachus bonebergi"	"7"
"452"	"Nectophrynoides cryptus"	"3"
"453"	"Nectophrynoides minutus"	"3"
"454"	"Nectophrynoides vestergaardi"	"2"
"455"	"Necturus alabamensis"	"8"
"456"	"Nothophryne broadleyi"	"3"
"457"	"Notophthalmus meridionalis"	"5"
"458"	"Nototriton barbouri"	"7"
"459"	"Nototriton brodiei"	"4"
"460"	"Nototriton limnospectator"	"7"
"461"	"Nyctanolis pernix"	"3"
"462"	"Nyctibatrachus aliciae"	"1"
"463"	"Nyctibatrachus beddomii"	"3"
"464"	"Nyctibatrachus karnatakaensis"	"3"
"465"	"Nyctibatrachus minor"	"1"
"466"	"Nyctibatrachus sanctipalustris"	"5"
"467"	"Nyctibatrachus vasanthi"	"1"
"468"	"Nymphargus luminosus"	"3"
"469"	"Nymphargus mariae"	"3"
"470"	"Nymphargus megacheirus"	"9"
"471"	"Nymphargus puyoensis"	"5"
"472"	"Odorrana amamiensis"	"4"
"473"	"Odorrana ishikawae"	"4"
"474"	"Odorrana kuangwuensis"	"3"
"475"	"Odorrana narina"	"4"
"476"	"Odorrana splendida"	"5"
"477"	"Odorrana supranarina"	"2"
"478"	"Odorrana utsunomiyaorum"	"2"
"479"	"Odorrana yentuensis"	"4"
"480"	"Oedipina carablanca"	"4"
"481"	"Oedipina gephyra"	"8"
"482"	"Oedipina gracilis"	"3"
"483"	"Oedipina grandis"	"3"
"484"	"Oedipina poelzi"	"5"
"485"	"Oedipina pseudouniformis"	"3"
"486"	"Oedipina stenopodia"	"0"
"487"	"Oophaga arborea"	"5"
"488"	"Oophaga speciosa"	"4"
"489"	"Oreobates ayacucho"	"6"
"490"	"Oreolalax chuanbeiensis"	"1"
"491"	"Oreolalax omeimontis"	"3"
"492"	"Oreolalax pingii"	"2"
"493"	"Oreolalax puxiongensis"	"2"
"494"	"Oreophryne monticola"	"3"
"495"	"Osornophryne antisana"	"4"
"496"	"Osornophryne guacamayo"	"7"
"497"	"Osornophryne percrassa"	"3"
"498"	"Osornophryne puruanta"	"3"
"499"	"Osornophryne talipes"	"6"
"500"	"Osteopilus crucialis"	"4"
"501"	"Osteopilus marianae"	"4"
"502"	"Osteopilus wilderi"	"3"
"503"	"Pachyhynobius yunanicus"	"2"
"504"	"Paramesotriton guangxiensis"	"1"
"505"	"Parapelophryne scalpta"	"3"
"506"	"Pedostibes tuberculosus"	"5"
"507"	"Pelobates varaldii"	"5"
"508"	"Pelophryne albotaeniata"	"2"
"509"	"Pelophryne api"	"0"
"510"	"Pelophylax cretensis"	"6"
"511"	"Pelophylax shqipericus"	"9"
"512"	"Pelophylax tenggerensis"	"3"
"513"	"Peltophryne cataulaciceps"	"3"
"514"	"Peltophryne fracta"	"3"
"515"	"Peltophryne longinasus"	"4"
"516"	"Petropedetes palmipes"	"3"
"517"	"Petropedetes perreti"	"4"
"518"	"Phaeognathus hubrichti"	"5"
"519"	"Philautus aurantium"	"1"
"520"	"Philautus cardamonus"	"3"
"521"	"Philautus disgregus"	"1"
"522"	"Philautus kerangae"	"1"
"523"	"Philautus neelanethrus"	"3"
"524"	"Philautus schmackeri"	"5"
"525"	"Philautus similis"	"3"
"526"	"Philautus surrufus"	"8"
"527"	"Philoria kundagungan"	"4"
"528"	"Philoria loveridgei"	"4"
"529"	"Philoria pughi"	"1"
"530"	"Philoria richmondensis"	"4"
"531"	"Philoria sphagnicolus"	"4"
"532"	"Phlyctimantis keithae"	"6"
"533"	"Phrynobatrachus annulatus"	"4"
"534"	"Phrynobatrachus ghanensis"	"3"
"535"	"Phrynobatrachus irangi"	"2"
"536"	"Phrynobatrachus krefftii"	"1"
"537"	"Phrynobatrachus pakenhami"	"3"
"538"	"Phrynobatrachus pintoi"	"3"
"539"	"Phrynobatrachus ungujae"	"2"
"540"	"Phrynopus bracki"	"3"
"541"	"Phrynopus montium"	"4"
"542"	"Phyllobates terribilis"	"6"
"543"	"Phyllobates vittatus"	"5"
"544"	"Physalaemus soaresi"	"2"
"545"	"Pipa myersi"	"5"
"546"	"Platymantis cagayanensis"	"4"
"547"	"Platymantis hazelae"	"5"
"548"	"Platymantis lawtoni"	"4"
"549"	"Platymantis levigatus"	"6"
"550"	"Platymantis negrosensis"	"5"
"551"	"Platymantis panayensis"	"4"
"552"	"Platymantis polillensis"	"6"
"553"	"Platymantis spelaeus"	"5"
"554"	"Platymantis subterrestris"	"5"
"555"	"Platymantis taylori"	"4"
"556"	"Plectrohyla arborescandens"	"6"
"557"	"Plectrohyla charadricola"	"3"
"558"	"Plectrohyla cyclada"	"4"
"559"	"Plectrohyla glandulosa"	"5"
"560"	"Plectrohyla lacertosa"	"4"
"561"	"Plectrohyla mykter"	"3"
"562"	"Plectrohyla pentheter"	"4"
"563"	"Plectrohyla psiloderma"	"10"
"564"	"Plectrohyla robertsorum"	"5"
"565"	"Plectrohyla sagorum"	"5"
"566"	"Plethodon stormi"	"1"
"567"	"Plethodontohyla fonetana"	"2"
"568"	"Plethodontohyla guentheri"	"6"
"569"	"Plethodon welleri"	"6"
"570"	"Pleurodeles poireti"	"2"
"571"	"Polypedates insularis"	"2"
"572"	"Praslinia cooperi"	"3"
"573"	"Pristimantis acerus"	"4"
