"species_list"	"threat_code"
"84"	"Bolitoglossa dunni"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.1 2.3.2 5.3 5.3.5 9.1 9.1.3"
"85"	"Bolitoglossa engelhardti"	"1.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.1 5.3 5.3.5"
"86"	"Bolitoglossa flavimembris"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 7.1 7.1.3"
"87"	"Bolitoglossa flaviventris"	"1.1 2.1 2.1.2 2.1.3 2.3 2.3.2 5.3 5.3.5 7.1 7.1.3"
"88"	"Bolitoglossa franklini"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 7.1 7.1.3 8.2"
"89"	"Bolitoglossa heiroreias"	"2.1 2.1.2 5.3 5.3.5"
"90"	"Bolitoglossa magnifica"	"2.1 2.1.2 2.3 2.3.2 4.1 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2"
"91"	"Bolitoglossa marmorea"	"2.1 2.1.2 2.3 2.3.2 7.1 7.1.3"
"92"	"Bolitoglossa meliana"	"1.1 2.1 2.1.2 5.3 5.3.5"
"93"	"Bolitoglossa minutula"	"1.1 2.1 2.1.2 5.3 5.3.5"
"94"	"Bolitoglossa nigrescens"	"1.1 2.1 2.1.1 2.1.2 5.3 5.3.5 7.1 7.1.3"
"95"	"Bolitoglossa pandi"	"2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 6.2"
"96"	"Bolitoglossa porrasorum"	"10.3 1.1 11.2 11.4 2.1 2.1.1 2.1.2 2.3 2.3.1 2.3.2 5.3 5.3.5 7.1 7.1.3"
"97"	"Bolitoglossa riletti"	"11.2 2.1 2.1.1 2.1.2 5.3 5.3.5 7.1 7.1.3"
"98"	"Bolitoglossa salvinii"	"1.1 2.1 2.1.1 2.1.2 5.3 5.3.5"
"99"	"Bolitoglossa sooyorum"	"11.5 2.1 2.1.2 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2"
"100"	"Bolitoglossa subpalmata"	"11.5 8.1 8.1.2"
"101"	"Bolitoglossa tica"	"2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3"
"102"	"Bolitoglossa veracrucis"	"2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 7.1 7.1.3"
"103"	"Bombina pachypus"	"2.1 2.1.3 2.3 2.3.3 8.1 8.1 8.1.1 8.1.2 8.2 8.2.1"
"104"	"Boophis andrangoloaka"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.3 7.1 7.1.1 7.1.3 8.1 8.1.1"
"105"	"Boophis anjanaharibeensis"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"106"	"Boophis arcanus"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.3"
"107"	"Boophis boehmei"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 7.1 7.1.3 8.1 8.1.1"
"108"	"Boophis boppa"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.1 7.1 7.1.1 8.1 8.1.1 8.4 8.4.2"
"109"	"Boophis feonnyala"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.1 8.4 8.4.2"
"110"	"Boophis haematopus"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"111"	"Boophis haingana"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.3 7.1 7.1.3 8.1 8.1.1"
"112"	"Boophis jaegeri"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 7.1 7.1.3 7.2 7.2.4 8.1 8.1.1 8.4 8.4.2 9.3 9.3.4"
"113"	"Boophis laurenti"	"2.3 2.3.2 7.1 7.1.1 8.4 8.4.2"
"114"	"Boophis miadana"	"2.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.3 7.1 7.1.3"
"115"	"Boophis narinsi"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.3 7.1 7.1.3 8.1 8.1.1"
"116"	"Boophis piperatus"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.3 7.1 7.1.3 8.1 8.1.1"
"117"	"Boophis rhodoscelis"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.5 7.1 7.1.3"
"118"	"Boophis sambirano"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.3 7.1 7.1.1 8.4 8.4.2"
"119"	"Boophis sandrae"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.3 7.1 7.1.3 8.1 8.1.1"
"120"	"Boophis solomaso"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2"
"121"	"Boulengerula changamwensis"	"1.1 12.1 2.1 2.1.1 2.1.2 5.3 5.3.3 5.3.4 9.3 9.3.3"
"122"	"Boulengerula niedeni"	"2.1 2.1.2 2.1.3"
"123"	"Boulengerula taitana"	"2.1 2.1.2"
"124"	"Bryophryne bustamantei"	"4.1"
"125"	"Bryophryne cophites"	"2.1 2.1.2 2.3 2.3.2 7.1 7.1.2 8.1 8.1.2"
"126"	"Bufoides meghalayanus"	"2.1 2.1.1 3.2 5.3 5.3.3"
"127"	"Callimedusa baltea"	"1.1 2.1 2.1.2 5.3 5.3.5"
"128"	"Callimedusa ecuatoriana"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2"
"129"	"Callulina kisiwamsitu"	"2.1 2.1.2 5.3 5.3.5"
"130"	"Callulops kopsteini"	"5.3 5.3.5"
"131"	"Cardioglossa oreas"	"1.1 11.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 9.3 9.3.3"
"132"	"Cardioglossa pulchra"	"1.1 11.1 2.1 2.1.2 2.3 2.3.2 5.2 5.2.2 5.3 5.3.3"
"133"	"Cardioglossa schioetzi"	"1.1 2.1 2.1.2 5.3 5.3.5"
"134"	"Cardioglossa venusta"	"1.1 11.1 2.1 2.1.2 2.3 2.3.2 5.2 5.2.2 5.3 5.3.3"
"135"	"Centrolene azulae"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"136"	"Centrolene lynchi"	"1.1 11.1 1.2 2.1 2.1.2 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1 8.1.1 8.1.2 9.3 9.3.3"
"137"	"Centrolene petrophilum"	"2.1 2.1.4 2.3 2.3.4"
"138"	"Centrolene pipilatum"	"11.5 2.1 2.1.2 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1.2"
"139"	"Charadrahyla chaneque"	"5.3 5.3.5"
"140"	"Chiasmocleis lacrimae"	"1.1 2.1 2.1.3 2.2 2.2.2 2.3 2.3.2 2.3.3 5.3 5.3.5"
"141"	"Chiropterotriton chondrostega"	"2.1 2.1.1 2.1.2 5.3 5.3.5 7.1 7.1.3"
"142"	"Chiropterotriton cracens"	"11.5 8.1 8.1.2"
"143"	"Chiropterotriton dimidiatus"	"1.1 11.5 1.3 2.1 2.1.2 5.3 5.3.5 6.1 7.1 7.1.3 8.1 8.1.1"
"144"	"Chiropterotriton multidentatus"	"11.5 2.1 2.1.2 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2"
"145"	"Chrysobatrachus cupreonitens"	"2.1 2.1.2 2.3 2.3.2 3.2"
"146"	"Cochranella mache"	"5.3 5.3.5"
"147"	"Colostethus mertensi"	"1.1 2.1 2.1.2 5.3 5.3.5"
"148"	"Colostethus ruthveni"	"1.1 11.2 2.1 2.1.2 2.3 2.3.2 2.3.3 5.3 5.3.5 9.3 9.3.3"
