"species_list"	"habitat_code"
"232"	"Eleutherodactylus ionthus"	"1.6 1.9"
"233"	"Eleutherodactylus jamaicensis"	"1.6 1.9"
"234"	"Eleutherodactylus klinikowskii"	"1.6 6"
"235"	"Eleutherodactylus leberi"	"1.6"
"236"	"Eleutherodactylus lentus"	"14.1 1.5"
"237"	"Eleutherodactylus luteolus"	"1.6"
"238"	"Eleutherodactylus melacara"	"1.6 1.9"
"239"	"Eleutherodactylus michaelschmidi"	"1.6 1.9"
"240"	"Eleutherodactylus minutus"	"1.6 1.9"
"241"	"Eleutherodactylus montanus"	"1.9"
"242"	"Eleutherodactylus notidodes"	"1.9"
"243"	"Eleutherodactylus nubicola"	"1.9"
"244"	"Eleutherodactylus patriciae"	"1.9"
"245"	"Eleutherodactylus pinarensis"	"1.6 6 7.1"
"246"	"Eleutherodactylus pinchoni"	"1.6 1.9"
"247"	"Eleutherodactylus pituinus"	"1.9"
"248"	"Eleutherodactylus portoricensis"	"1.6 1.9"
"249"	"Eleutherodactylus principalis"	"1.6 1.9"
"250"	"Eleutherodactylus probolaeus"	"1.5"
"251"	"Eleutherodactylus ruthae"	"1.6"
"252"	"Eleutherodactylus saxatilis"	"1.6 6"
"253"	"Eleutherodactylus schwartzi"	"1.5"
"254"	"Eleutherodactylus simulans"	"1.6 5.1"
"255"	"Eleutherodactylus sommeri"	"14.3 1.6 1.9"
"256"	"Eleutherodactylus syristes"	"1.6"
"257"	"Eleutherodactylus thomasi"	"1.6 6 7.1"
"258"	"Eleutherodactylus toa"	"1.6 5.1"
"259"	"Eleutherodactylus wightmanae"	"1.6 1.9"
"260"	"Eleutherodactylus zeus"	"1.6 6 7.1"
"261"	"Eleutherodactylus zugi"	"1.6"
"262"	"Epipedobates tricolor"	"1.9 5.1"
"263"	"Espadarana audax"	"1.9 5.1"
"264"	"Espadarana fernandoi"	"1.9 5.1"
"265"	"Euproctus platycephalus"	"1.4 15.2 3.4 3.8 5.1 5.18 5.2 5.7 5.8 7.1"
"266"	"Eupsophus contulmoensis"	"1.4 5.8"
"267"	"Eupsophus migueli"	"1.4 5.8"
"268"	"Eupsophus nahuelbutensis"	"1.4 5.8"
"269"	"Eurycea naufragia"	"5.18 5.9"
"270"	"Eurycea tonkawae"	"5.18 5.9"
"271"	"Excidobates mysteriosus"	"1.6"
