"species_list"	"habitat_code"
"81"	"Atelopus nicefori"	"1.9 5.1"
"82"	"Atelopus onorei"	"1.9 5.1"
"83"	"Atelopus orcesi"	"1.9 5.1"
"84"	"Atelopus oxyrhynchus"	"1.9 5.1 5.2"
"85"	"Atelopus pachydermus"	"1.9 4.7 5.1"
"86"	"Atelopus pastuso"	"3.7 4.7 5.1"
"87"	"Atelopus patazensis"	"3.7 5.1 5.2"
"88"	"Atelopus pedimarmoratus"	"1.9 5.1"
"89"	"Atelopus peruensis"	"4.7 5.1"
"90"	"Atelopus petersi"	"1.9 5.1"
"91"	"Atelopus petriruizi"	"1.9 5.1"
"92"	"Atelopus pictiventris"	"14.2 14.6 18 1.9 5.1"
"93"	"Atelopus pinangoi"	"1.9 5.1 5.2"
"94"	"Atelopus planispina"	"1.9 5.1"
"95"	"Atelopus podocarpus"	"3.7 4.7 5.1"
"96"	"Atelopus pulcher"	"1.6 5.1"
"97"	"Atelopus pyrodactylus"	"1.9"
"98"	"Atelopus quimbaya"	"1.9 5.1"
"99"	"Atelopus reticulatus"	"1.9 5.1"
"100"	"Atelopus seminiferus"	"1.9 5.1"
"101"	"Atelopus senex"	"1.9 5.1"
"102"	"Atelopus sernai"	"1.9 4.7 5.1"
"103"	"Atelopus simulatus"	"1.9 3.7 5.1"
"104"	"Atelopus sonsonensis"	"1.9 5.1"
"105"	"Atelopus sorianoi"	"1.9 5.1"
"106"	"Atelopus subornatus"	"1.9 5.1"
"107"	"Atelopus tamaense"	"3.7 4.7 5.1 5.4"
"108"	"Atelopus varius"	"1.6 1.9 5.1"
"109"	"Atelopus walkeri"	"1.9 5.1"
"110"	"Atelopus zeteki"	"1.6 1.9 5.1"
"111"	"Atopophrynus syntomopus"	"1.9 5.1"
"112"	"Balebreviceps hillmani"	"1.9 3.7"
"113"	"Bokermannohyla izecksohni"	"1.6 5.8"
"114"	"Bolitoglossa capitana"	"1.9"
"115"	"Bolitoglossa carri"	"1.9"
"116"	"Bolitoglossa decora"	"1.9"
"117"	"Bolitoglossa diaphora"	"1.9"
"118"	"Bolitoglossa longissima"	"1.9"
"119"	"Bolitoglossa oresbia"	"1.9"
"120"	"Bolitoglossa synoria"	"14.6 1.9"
"121"	"Bolitoglossa zapoteca"	"14.6 1.9"
"122"	"Boophis ankarafensis"	"1.6 5.1"
"123"	"Boophis baetkei"	"14.6 1.6 5.1"
"124"	"Boophis liami"	"14.6 1.6 5.1"
"125"	"Boophis tsilomaro"	"1.6 5.1"
"126"	"Boophis williamsi"	"1.9 4.7 5.1"
"127"	"Bradytriton silus"	"1.9"
"128"	"Bromeliohyla dendroscarta"	"1.9 5.1"
"129"	"Callulina dawida"	"1.9"
"130"	"Callulina hanseni"	"1.9"
"131"	"Callulina kanga"	"1.9"
"132"	"Callulina laphami"	"1.9"
"133"	"Callulina meteora"	"1.9"
"134"	"Callulina shengena"	"1.9"
"135"	"Callulina stanleyi"	"1.9"
"136"	"Calotriton arnoldi"	"1.4 5.1"
"137"	"Cardioglossa alsco"	"1.9 5.1"
"138"	"Cardioglossa manengouba"	"1.9 5.1"
"139"	"Cardioglossa trifasciata"	"14.6 1.9 5.1"
"140"	"Centrolene ballux"	"1.9 5.1"
"141"	"Centrolene gemmatum"	"1.9 5.1"
"142"	"Centrolene heloderma"	"1.6 5.1"
"143"	"Charadrahyla altipotens"	"1.6 1.9 5.1"
"144"	"Charadrahyla trux"	"1.9 5.1"
"145"	"Chiropterotriton arboreus"	"1.4 1.9"
"146"	"Chiropterotriton chiropterus"	"1.9"
"147"	"Chiropterotriton lavae"	"1.9"
"148"	"Chiropterotriton magnipes"	"1.9 7.1 7.2"
"149"	"Chiropterotriton mosaueri"	"1.4 7.1"
"150"	"Chiropterotriton terrestris"	"1.9"
"151"	"Choerophryne siegfriedi"	"14.4 14.6 1.9"
"152"	"Churamiti maridadi"	"1.9"
"153"	"Colostethus jacobuspetersi"	"1.9 4.7 5.1"
"154"	"Conraua derooi"	"1.6 5.1"
"155"	"Cophixalus concinnus"	"1.9 6"
"156"	"Cophyla karenae"	"1.6"
"157"	"Cophyla maharipeo"	"14.4 1.6"
"158"	"Cophyla puellarum"	"1.9"
"159"	"Craugastor anciano"	"1.9 5.1"
"160"	"Craugastor andi"	"5.1"
"161"	"Craugastor angelicus"	"1.9 5.1"
"162"	"Craugastor catalinae"	"1.9 5.1"
"163"	"Craugastor coffeus"	"14.3 1.9"
"164"	"Craugastor cruzi"	"1.9 5.2"
"165"	"Craugastor emcelae"	"1.6 1.9"
"166"	"Craugastor emleni"	"14.3 1.9 5.1"
"167"	"Craugastor epochthidius"	"1.6 1.9 5.1"
"168"	"Craugastor fecundus"	"1.6 1.9 5.1"
"169"	"Craugastor fleischmanni"	"1.9 5.1"
"170"	"Craugastor glaucus"	"1.9"
"171"	"Craugastor greggi"	"1.9 5.1"
"172"	"Craugastor guerreroensis"	"1.9"
"173"	"Craugastor gulosus"	"1.9"
"174"	"Craugastor lineatus"	"1.9 5.1"
"175"	"Craugastor megalotympanum"	"1.6 1.9"
"176"	"Craugastor merendonensis"	"1.6 5.1"
"177"	"Craugastor milesi"	"1.6 1.9 5.1"
"178"	"Craugastor obesus"	"1.6 1.9 5.1"
"179"	"Craugastor olanchano"	"1.9 5.1"
"180"	"Craugastor omoaensis"	"1.9 5.1 5.2"
"181"	"Craugastor polymniae"	"1.9"
"182"	"Craugastor pozo"	"1.6 1.9 7.1"
"183"	"Craugastor ranoides"	"1.5 1.6 5.1"
"184"	"Craugastor saltuarius"	"1.9"
"185"	"Craugastor stadelmani"	"1.9 5.1"
"186"	"Craugastor tabasarae"	"1.6"
"187"	"Craugastor taurus"	"1.6 5.1"
"188"	"Craugastor trachydermus"	"1.6 1.9 5.1"
"189"	"Cryptotriton monzoni"	"1.9"
"190"	"Cryptotriton veraepacis"	"1.9"
"191"	"Cycloramphus faustoi"	"1.6 6"
"192"	"Dendropsophus amicorum"	"1.9"
"193"	"Dendrotriton bromeliacius"	"1.9"
"194"	"Dendrotriton chujorum"	"1.5 1.9"
"195"	"Dendrotriton cuchumatanus"	"1.9"
"196"	"Dendrotriton rabbi"	"1.9"
"197"	"Duellmanohyla salvavida"	"1.6 1.9 5.1"
"198"	"Duttaphrynus sumatranus"	"1.6 1.9 5.1"
"199"	"Echinotriton chinhaiensis"	"1.4 15.2 5.7"
"200"	"Ecnomiohyla echinata"	"1.9 5.1"
"201"	"Ecnomiohyla rabborum"	"1.6 17 1.9"
"202"	"Ecnomiohyla salvaje"	"14.6 1.9"
"203"	"Ecnomiohyla valancifer"	"1.6 5.1"
"204"	"Eleutherodactylus albipes"	"1.9"
"205"	"Eleutherodactylus amadeus"	"1.9"
"206"	"Eleutherodactylus apostates"	"1.6 1.9 5.1"
"207"	"Eleutherodactylus bakeri"	"1.6 1.9"
"208"	"Eleutherodactylus bartonsmithi"	"14.3 1.6"
"209"	"Eleutherodactylus blairhedgesi"	"3.5 6"
"210"	"Eleutherodactylus bresslerae"	"1.6 6"
"211"	"Eleutherodactylus brevirostris"	"14.6 1.6 1.9"
"212"	"Eleutherodactylus caribe"	"1.7"
"213"	"Eleutherodactylus cavernicola"	"1.6 7.1"
"214"	"Eleutherodactylus chlorophenax"	"1.6 1.9 6"
"215"	"Eleutherodactylus corona"	"1.9"
"216"	"Eleutherodactylus cubanus"	"1.6 1.9"
"217"	"Eleutherodactylus darlingtoni"	"1.9"
"218"	"Eleutherodactylus dixoni"	"1.6"
"219"	"Eleutherodactylus dolomedes"	"1.9"
"220"	"Eleutherodactylus eneidae"	"1.6 1.9"
"221"	"Eleutherodactylus eunaster"	"1.6 1.9"
"222"	"Eleutherodactylus fowleri"	"1.6 1.9"
"223"	"Eleutherodactylus furcyensis"	"14.6 1.6 1.9"
"224"	"Eleutherodactylus fuscus"	"1.6 6"
"225"	"Eleutherodactylus glandulifer"	"1.6 1.9 5.2"
"226"	"Eleutherodactylus glanduliferoides"	"1.9"
"227"	"Eleutherodactylus grandis"	"3.5"
"228"	"Eleutherodactylus griphus"	"1.6"
"229"	"Eleutherodactylus iberia"	"1.6"
"230"	"Eleutherodactylus jasperi"	"1.6 6"
"231"	"Eleutherodactylus jaumei"	"1.6"
