"species_list"	"threat_count"
"142"	"Centrolene heloderma"	"9"
"143"	"Charadrahyla altipotens"	"4"
"144"	"Charadrahyla trux"	"4"
"145"	"Chiropterotriton arboreus"	"4"
"146"	"Chiropterotriton chiropterus"	"5"
"147"	"Chiropterotriton lavae"	"5"
"148"	"Chiropterotriton magnipes"	"2"
"149"	"Chiropterotriton mosaueri"	"3"
"150"	"Chiropterotriton terrestris"	"4"
"151"	"Choerophryne siegfriedi"	"2"
"152"	"Churamiti maridadi"	"2"
"153"	"Colostethus jacobuspetersi"	"6"
"154"	"Conraua derooi"	"4"
"155"	"Cophixalus concinnus"	"5"
"156"	"Cophyla karenae"	"5"
"157"	"Cophyla maharipeo"	"3"
"158"	"Cophyla puellarum"	"3"
"159"	"Craugastor anciano"	"10"
"160"	"Craugastor andi"	"2"
"161"	"Craugastor angelicus"	"2"
"162"	"Craugastor catalinae"	"5"
"163"	"Craugastor coffeus"	"8"
"164"	"Craugastor cruzi"	"2"
"165"	"Craugastor emcelae"	"4"
"166"	"Craugastor emleni"	"1"
"167"	"Craugastor epochthidius"	"11"
"168"	"Craugastor fecundus"	"11"
"169"	"Craugastor fleischmanni"	"1"
"170"	"Craugastor glaucus"	"3"
"171"	"Craugastor greggi"	"3"
"172"	"Craugastor guerreroensis"	"3"
"173"	"Craugastor gulosus"	"3"
"174"	"Craugastor lineatus"	"5"
"175"	"Craugastor megalotympanum"	"3"
"176"	"Craugastor merendonensis"	"1"
"177"	"Craugastor milesi"	"6"
"178"	"Craugastor obesus"	"1"
"179"	"Craugastor olanchano"	"1"
"180"	"Craugastor omoaensis"	"9"
"181"	"Craugastor polymniae"	"3"
"182"	"Craugastor pozo"	"3"
"183"	"Craugastor ranoides"	"7"
"184"	"Craugastor saltuarius"	"8"
"185"	"Craugastor stadelmani"	"7"
"186"	"Craugastor tabasarae"	"2"
"187"	"Craugastor taurus"	"4"
"188"	"Craugastor trachydermus"	"4"
"189"	"Cryptotriton monzoni"	"3"
"190"	"Cryptotriton veraepacis"	"6"
"191"	"Cycloramphus faustoi"	"1"
"192"	"Dendropsophus amicorum"	"5"
"193"	"Dendrotriton bromeliacius"	"4"
"194"	"Dendrotriton chujorum"	"2"
"195"	"Dendrotriton cuchumatanus"	"2"
"196"	"Dendrotriton rabbi"	"2"
"197"	"Duellmanohyla salvavida"	"11"
"198"	"Duttaphrynus sumatranus"	"2"
"199"	"Echinotriton chinhaiensis"	"5"
"200"	"Ecnomiohyla echinata"	"4"
"201"	"Ecnomiohyla rabborum"	"2"
"202"	"Ecnomiohyla salvaje"	"8"
"203"	"Ecnomiohyla valancifer"	"4"
"204"	"Eleutherodactylus albipes"	"4"
"205"	"Eleutherodactylus amadeus"	"2"
"206"	"Eleutherodactylus apostates"	"2"
"207"	"Eleutherodactylus bakeri"	"2"
"208"	"Eleutherodactylus bartonsmithi"	"3"
"209"	"Eleutherodactylus blairhedgesi"	"3"
"210"	"Eleutherodactylus bresslerae"	"3"
"211"	"Eleutherodactylus brevirostris"	"2"
"212"	"Eleutherodactylus caribe"	"2"
"213"	"Eleutherodactylus cavernicola"	"4"
"214"	"Eleutherodactylus chlorophenax"	"2"
"215"	"Eleutherodactylus corona"	"2"
"216"	"Eleutherodactylus cubanus"	"4"
"217"	"Eleutherodactylus darlingtoni"	"2"
"218"	"Eleutherodactylus dixoni"	"3"
"219"	"Eleutherodactylus dolomedes"	"2"
"220"	"Eleutherodactylus eneidae"	"3"
"221"	"Eleutherodactylus eunaster"	"2"
"222"	"Eleutherodactylus fowleri"	"2"
"223"	"Eleutherodactylus furcyensis"	"2"
"224"	"Eleutherodactylus fuscus"	"3"
"225"	"Eleutherodactylus glandulifer"	"2"
"226"	"Eleutherodactylus glanduliferoides"	"2"
"227"	"Eleutherodactylus grandis"	"6"
"228"	"Eleutherodactylus griphus"	"3"
"229"	"Eleutherodactylus iberia"	"3"
"230"	"Eleutherodactylus jasperi"	"4"
"231"	"Eleutherodactylus jaumei"	"2"
"232"	"Eleutherodactylus juanariveroi"	"3"
"233"	"Eleutherodactylus jugans"	"2"
"234"	"Eleutherodactylus junori"	"4"
"235"	"Eleutherodactylus karlschmidti"	"3"
"236"	"Eleutherodactylus lamprotes"	"2"
"237"	"Eleutherodactylus leoncei"	"2"
"238"	"Eleutherodactylus locustus"	"9"
"239"	"Eleutherodactylus lucioi"	"2"
"240"	"Eleutherodactylus mariposa"	"2"
"241"	"Eleutherodactylus nortoni"	"3"
"242"	"Eleutherodactylus orcutti"	"5"
"243"	"Eleutherodactylus orientalis"	"2"
"244"	"Eleutherodactylus oxyrhyncus"	"2"
"245"	"Eleutherodactylus parabates"	"3"
"246"	"Eleutherodactylus parapelates"	"2"
"247"	"Eleutherodactylus paulsoni"	"2"
"248"	"Eleutherodactylus pezopetrus"	"2"
"249"	"Eleutherodactylus poolei"	"3"
"250"	"Eleutherodactylus rhodesi"	"2"
"251"	"Eleutherodactylus richmondi"	"2"
"252"	"Eleutherodactylus rivularis"	"6"
"253"	"Eleutherodactylus rufescens"	"2"
"254"	"Eleutherodactylus rufifemoralis"	"3"
"255"	"Eleutherodactylus schmidti"	"4"
"256"	"Eleutherodactylus sciagraphus"	"2"
"257"	"Eleutherodactylus semipalmatus"	"4"
"258"	"Eleutherodactylus sisyphodemus"	"2"
"259"	"Eleutherodactylus symingtoni"	"4"
"260"	"Eleutherodactylus tetajulia"	"3"
"261"	"Eleutherodactylus thorectes"	"2"
"262"	"Eleutherodactylus tonyi"	"2"
"263"	"Eleutherodactylus turquinensis"	"6"
"264"	"Eleutherodactylus ventrilineatus"	"2"
"265"	"Eleutherodactylus warreni"	"2"
"266"	"Ericabatrachus baleensis"	"4"
"267"	"Eupsophus insularis"	"2"
"268"	"Exerodonta perkinsi"	"3"
"269"	"Fejervarya murthii"	"2"
"270"	"Gastrotheca lauzuricae"	"3"
"271"	"Gastrotheca zeugocystis"	"3"
"272"	"Geocrinia alba"	"11"
"273"	"Gephyromantis mafy"	"2"
"274"	"Glandirana minima"	"3"
"275"	"Guibemantis diphonus"	"6"
"276"	"Guibemantis punctatus"	"7"
"277"	"Heleophryne rosei"	"5"
"278"	"Holoaden bradei"	"3"
"279"	"Hyla bocourti"	"3"
"280"	"Hyla heinzsteinitzi"	"2"
"281"	"Hyla nicefori"	"1"
"282"	"Hyloscirtus chlorosteus"	"4"
"283"	"Hyloscirtus ptychodactylus"	"8"
"284"	"Hyloxalus anthracinus"	"5"
"285"	"Hyloxalus delatorreae"	"6"
"286"	"Hyloxalus edwardsi"	"2"
"287"	"Hyloxalus ruizi"	"2"
"288"	"Hyloxalus vertebralis"	"5"
"289"	"Hynobius abei"	"3"
"290"	"Hynobius amjiensis"	"5"
"291"	"Hynobius okiensis"	"3"
"292"	"Hyperolius davenporti"	"3"
"293"	"Hyperolius ruvuensis"	"1"
"294"	"Hyperolius tanneri"	"3"
"295"	"Hyperolius watsonae"	"2"
"296"	"Hypodactylus lucida"	"6"
"297"	"Hypsiboas cymbalum"	"4"
"298"	"Incilius cristatus"	"5"
"299"	"Incilius fastidiosus"	"3"
"300"	"Incilius holdridgei"	"3"
"301"	"Incilius peripatetes"	"2"
"302"	"Indirana gundia"	"5"
"303"	"Indirana phrynoderma"	"1"
"304"	"Ingerana charlesdarwini"	"1"
"305"	"Insuetophrynus acarpicus"	"2"
"306"	"Iranodon gorganensis"	"1"
"307"	"Isthmohyla angustilineata"	"1"
"308"	"Isthmohyla calypsa"	"3"
"309"	"Isthmohyla debilis"	"6"
"310"	"Isthmohyla graceae"	"4"
"311"	"Isthmohyla insolita"	"8"
"312"	"Isthmohyla rivularis"	"7"
"313"	"Isthmohyla tica"	"3"
"314"	"Isthmura gigantea"	"7"
"315"	"Isthmura naucampatepetl"	"4"
"316"	"Ixalotriton parvus"	"3"
"317"	"Latonia nigriventer"	"4"
"318"	"Leiopelma archeyi"	"6"
